jur,doc_id,year,stage,stage_final,confidence,evidence
BIS,BIS_Pakistan_2022,2020.0,not_applicable,not_applicable,1.0,institutional composite
CA,CA_Jasper_III_2018,2018.0,research,paused_research,0.97,JASPER PHASE III OCTOBER 2018 SECURITIES SETTLEMENT USING DISTRIBUTED LEDGER TECHNOLOGY
IT,IT_BdI_MISP_2021,2021.0,research,paused_research,0.95,A digital euro: a contribution to the discussion on technical design choices
IS,IS_CBI_2018,2018.0,research,paused_research,0.98,"Rafkróna? Central bank digital currency Interim report — the document is titled an 'Interim report', published September 2018, and its content covers analysis of properties, monetary policy impacts, regulatory framework, and demand considerations for a proposed rafkróna, with no indication of any live or pilot operation having been launched."
MO,MO_AMCM_eMOP_WP,2022.0,research,paused_research,0.92,The Blueprint for the Development of e-MOP ... Strategic Plans and Progress ... the Macao SAR Government will explore the integration of e-MOP with CBDC project platforms in other countries or regions ... the AMCM is dedicated to using e-MOP as a practical model to promote the Motherland's relevant technical standards ... Our ultimate goal is not only to create a modern monetary and financial system with an efficient and innovative CBDC
PY,PY_BCP_Informe_CBDC,2021.0,research,paused_research,0.97,"El presente informe busca abordar de manera simple y acabada el estado del arte relacionado a la Moneda Digital del Banco Central, o CBDC por sus siglas en ingles... este informe presenta una recopilación de trabajos publicados por este grupo de trabajo... Se requiere mucho más trabajo para comprender verdaderamente los muchos problemas... es de relevante preponderancia, que el Banco Central del Paraguay establezca un Grupo"
DK,DK_Denmark_2022,2022.0,research,paused_research,0.97,Danmarks Nationalbank monitors the development closely and participates actively in international working groups and forums that focus on new payment technology and on the opportunities and risks connected with a retail CBDC.
UY,UY_BCU_Seven_Lessons_2022,2022.0,research,paused_research,0.85,"The pilot lasted six months, and after April 2018 the digital currency was destroyed... this paper constitutes a cartography of the aspects that central banks consider in the configuration of a digital currency pilot plan... Future steps in the research arena will involve the role of private sector intermediaries in the process... All the research that central banks are doing will enrich the experience and lessons learned from each process will give us more information for better decisions."
CZ,CZ_CzechRepublic_2022,2022.0,research,paused_research,0.98,"Česká národní banka sleduje problematiku digitálních peněz centrálních bank již od roku 2016... V únoru 2021 byla zřízena pracovní skupina k problematice CBDC, v níž jsou zastoupeny všechny relevantní útvary ČNB. Jejím hlavním úkolem je sledovat a analyzovat probíhající vývoj v oblasti CBDC se zaměřením na možné dopady na ČNB a Českou republiku, včetně analýz, zda vůbec a za jakých podmínek by bylo důvodné reálně uvažovat o případné emisi CBDC Českou národní bankou."
CO,CO_Colombia_2022,2022.0,research,paused_research,0.93,"Reflexiones en torno a la emisión de un CBDC / El futuro del sistema de pagos en Colombia — the document presents a panoramic global review and 'reflections around the issuance of a CBDC,' with no mention of a pilot or live deployment; activity described is design/consultation work through the Foro de Sistemas de Pago (sessions in August–September 2022) involving working groups on directory, compensation/settlement, and technical requirements."
AM,AM_ARM_001,2023.0,research,paused_research,0.99,this research aims to investigate the suitability of CBDC issuance in Armenia... limited use cases for retail CBDC have been identified thus far... An agent-based model was developed to simulate the potential adoption of CBDC in Armenia
ZA,ZA_SARB_Project_Khokha_2_Report_media_release_6_April_2022,2022.0,research,paused_research,0.99,"As an experimental research project, PK2 followed an exploratory approach in the design and development of the prototypes built in the PoC. The objective of the technical trial was to highlight the policy and/or regulatory implications of the application of DLT in the financial markets. PK2 does not support any specific technology, nor does it imply a policy shift in either the financial markets or the national payment system."
TR,TR_DigitalLira_Phase2_2025,2025.0,research,active_research,0.95,"SECOND PHASE ... PILOT TESTS WILL ALSO BE CONDUCTED IN THE SECOND PHASE ... IF THE CIRCULATION DECISION IS MADE, THE THIRD PHASE OF THE PROJECT WILL COMMENCE"
PW,PW_Palau_Phase1_Report,2023.0,pilot,pilot,0.95,"The primary objective of the PSC Pilot Project was to assess different use cases and proposed benefits brought by the PSC, in a controlled environment and during a determined period, where up to 200 volunteers from among the Palau government's executive branch employees would making purchases at a select number of retailers onboarded in this project."
MG,MG_BFM_OP_2023,2023.0,research,paused_research,0.97,"La première phase consiste à conduire des travaux d'analyse, de conception et d'expérimentation. La deuxième phase du projet porte sur le déploiement et la mise en production. La réalisation de cette deuxième phase est conditionnée par les résultats de la phase expérimentale."
BR,BR_Brazil_2023,2023.0,research,paused_research,0.85,Real Digital platform pilot development • Consultation channel with society on its development / Piloto RD Schedule 2023/2024: Development and tests / Onboarding of participants (May) / Evaluation (Feb/24)
PH,PH_Philippines_EFLP2024_1_2c,2024.0,research,paused_research,0.92,The BSP shall continue to expand its activities on testing CBDC technology and evaluating emerging use cases that may help address payment system pain points or improve the safety and efficiency of the national payment system
AU,AU_RBA_003,2024.0,research,paused_research,0.95,Project Acacia – Exploring the Role of Digital Money in Wholesale Tokenised Asset Markets Consultation Paper November 2024 ... Phase 1 – Conceptual Research and Questions for Consultation ... Phase 2 – Experimentation
PE,PE_BCRP_NotaInformativa_2024,2024.0,pilot,pilot,0.85,BCRP SELECCIONÓ A LA EMPRESA PARTICIPANTE EN EL PRIMER PILOTO DE INNOVACIÓN DE DINERO DIGITAL [...] se establece que el Participante del Primer Piloto de Dinero Digital es la empresa Viettel Perú S.A.C.
ES,ES_Spain_2024c,2024.0,research,paused_research,0.99,The experimentation programme regarding the use of wholesale digital tokens (known as wholesale central bank digital currencies or CBDCs) provides Banco de España with an opportunity for collaboration with the private sector to explore the inherent advantages and disadvantages in the use of emerging technology... the execution phase of the agreed experiments begins... The experiment will be conducted over the next 5 months
