code,family,label,definition,code_when,dont_code_when
PRIV.ANON,PRIV,Anonymita / pseudonymita,"Stupeň identifikovatelnosti uživatele v CBDC — od cash-like anonymity přes pseudonymitu (stable wallet ID re-identifiable by authorities) po plnou traceability. Strength 1 = okrajová zmínka, 2 = explicitní deklarace stupně, 3 = normativní/design rozhodnutí.","Pasáž explicitně diskutuje, do jaké míry je transakce / uživatel (ne)identifikovatelný — full anonymity, threshold-based, tiered, controllable anonymity, pseudonymity, traceability, identification.",Obecné technické zmínky o šifrování bez vazby na identitu uživatele.
PRIV.OFF,PRIV,Offline platby (privacy),"Privacy vlastnosti offline plateb — typicky vyšší míra anonymity, nepřítomnost online ověření.","Pasáž zmiňuje offline payment funkcionalitu jako privacy-relevant feature (peer-to-peer, cash-like, no connectivity needed).",Offline jako pouze resilience/connectivity argument bez privacy aspektu.
PRIV.MIN,PRIV,Data minimisation / GDPR,"Princip sběru jen nezbytných dat a explicitní vazba na GDPR / data-protection právní rámec (lawful basis, data subject rights, DPIA).","Pasáž zmiňuje data minimisation principle, GDPR alignment, právní základ zpracování, ochrana osobních údajů jako design constraint.",Obecná zmínka 'privacy' bez vazby na minimalizaci dat nebo právní rámec.
PRIV.PET,PRIV,Privacy-enhancing technologies,"Konkrétní PET: ZKP/zk-SNARK, homomorphic encryption, secure multi-party computation, federated learning, differential privacy, blind signatures.","Pasáž jmenuje konkrétní kryptografickou techniku zachování privacy, nebo používá pojem PET / privacy-enhancing technology.",Obecná zmínka 'cryptography' bez konkrétní techniky.
PRIV.BAL,PRIV,Privacy ↔ AML/policy trade-off,"Diskuze napětí mezi privacy a AML/CFT/surveillance, nebo mezi privacy a jinými policy cíli (monetary policy, consumer protection, data sovereignty).","Pasáž explicitně tematizuje trade-off mezi privacy a kontrolou/regulací (balance, tension, versus, trade-off).",Pouhá zmínka jednoho z pólů bez explicitního trade-off.
PRIV.CB.visibility.opaque,PRIV,CB visibility — opaque (CB nevidi),"Centralni banka NEVIDI jednotlive transakce ani identitu uzivatelu; vidi pouze agregaty nebo zustatky zprostredkovatelu. Narrow bank model, off-ledger data, intermediary-held customer data.","Pasaz popisuje, ze CB ma omezenou nebo zadnou viditelnost na urovni uzivatele (limited visibility, off-ledger, intermediary holds data, CB sees only aggregates).","Obecna zminka privacy bez explicitniho vztahu k tomu, co CB vidi."
PRIV.CB.visibility.transparent,PRIV,CB visibility — transparent (CB vidi),"Centralni banka VIDI transakce, balance, nebo identitu uzivatelu. Bud primo (CB-operated ledger), nebo pres pristup k datum z intermediaru.","Pasaz popisuje, ze CB vidi transakce, ma pristup k datum uzivatelu, full visibility, all transactions logged on CB ledger.","Obecna zminka transaction monitoring bez upresneni, kdo monitoruje."
AML.LIMIT,AML,Holding / transaction limits,"Wallet caps, daily/monthly limits, reverse waterfall jako AML nebo financial-stability nástroj.","Pasáž stanovuje nebo diskutuje kvantitativní limity (CZK/EUR/USD částka, počet transakcí, holding cap).",Limity v jiném kontextu (např. technical scalability).
AML.MON,AML,Transaction monitoring,"Systémy detekce podezřelých transakcí — real-time monitoring, ML-based detection, behavioural analytics.",Pasáž popisuje systém monitorování CBDC transakcí pro AML účely.,Obecné statistical reporting bez AML zaměření.
AML.FATF,AML,"AML regulační rámec (FATF, Travel Rule, SAR, sanctions)","Explicitní vazba na AML/CFT regulační machinery: FATF Recommendations, Travel Rule (R.16), suspicious activity reporting (SAR/STR), sanctions/PEP screening.","Pasáž zmiňuje FATF, Travel Rule, SAR/STR, sanctions screening, OFAC, EU/UN sanctions lists, mutual evaluation.",Obecná zmínka 'AML compliance' bez vazby na konkrétní regulační nástroj.
AML.RISK,AML,Risk-based approach,"Diferenciovaná AML/CFT opatření podle rizika (high/low risk customers, geographies, products).","Pasáž zmiňuje risk-based approach (RBA), diferenciaci opatření podle rizikového profilu.",Obecné risk management bez vazby na AML.
KYC.TIER,KYC,"Tiered KYC (SDD, EDD, exemptions)","Vícestupňový KYC — různé úrovně due diligence podle typu wallet/limitů; simplified DD pro low-value, enhanced DD pro high-risk, exemption pro offline/cash-like.","Pasáž popisuje různé úrovně KYC podle wallet typu, limitu nebo rizika.",Pouze jednoúrovňový KYC bez diferenciace.
