seg_id,quote,quote_en,code1,odr,privacy_direction,privacy_relation,strength,doc_id,page,source,model,jur,v5_verdict,code_v5,v5_stage_a,v5_evidence,v5_confidence,doc_nature,doc_token_stance,doc_prog_stance,doc_rem_stance,code_v5r,reconcile_flag,prog_delegated_private
V9-00001,"Payment infrastructure advancement, capacity building and financial inclusion could be identified as the most suitable motivations for CBDC issuance for the Armenian economy","Payment infrastructure advancement, capacity building and financial inclusion could be identified as the most suitable motivations for CBDC issuance for the Armenian economy",NONE.irrelevant,proposal,neutral,not_applicable,2,AM_ARM_001,8,llm_union_v9,claude-sonnet-4-6,AM,keep,OTHER.keep,consideration,"Payment infrastructure advancement, capacity building and financial inclusion could be identified as the most suitable motivations for CBDC issuance for the Armenian economy",0.72,research,considering,silent,silent,OTHER.keep,,False
V9-00002,"Among central banks, the indirect architecture is widely regarded as more suitable for the issuance of CBDC, primarily due to its associated lower disruption to the banking system.","Among central banks, the indirect architecture is widely regarded as more suitable for the issuance of CBDC, primarily due to its associated lower disruption to the banking system.",KYC.INTERMED,proposal,neutral,from_intermediary,2,AM_ARM_001,8,llm_union_v9,claude-sonnet-4-6,AM,keep,KYC.INTERMED,,,,research,considering,silent,silent,KYC.INTERMED,,False
V9-00003,"the introduction of CBDC is motivated by two aspects. First, in economies with the continuous decline of cash, it can ensure an alternative to banks' payment infrastructure with the public having direct access to the retail central bank money.","The introduction of CBDC is motivated by two aspects. First, it can ensure an alternative to banks' payment infrastructure with the public having direct access to the retail central bank money.",TECH.ARCH.account,proposal,neutral,not_applicable,1,AM_ARM_001,10,llm_union_v9,claude-sonnet-4-6,AM,drop,,generic_theory,,0.75,research,considering,silent,silent,,,False
V9-00004,"Second, with the introduction of CBDC, central banks may aim to facilitate the creation of a cashless society. The public digital currency infrastructure has the potential to promote the inclusion of financially excluded individuals into the financial system.","Second, with the introduction of CBDC, central banks may aim to facilitate the creation of a cashless society. The public digital currency infrastructure has the potential to promote the inclusion of financially excluded individuals into the financial system.",NONE.irrelevant,proposal,neutral,not_applicable,1,AM_ARM_001,10,llm_union_v9,claude-sonnet-4-6,AM,drop,,generic_theory,,0.78,research,considering,silent,silent,,,False
V9-00005,"For the Armenian economy, these two motivations are legitimate. Enhancing financial inclusion would not only reduce cash management expenses but also provide broader financial access to a larger segment of the population.","For the Armenian economy, these two motivations are legitimate. Enhancing financial inclusion would not only reduce cash management expenses but also provide broader financial access to a larger segment of the population.",NONE.irrelevant,proposal,neutral,not_applicable,1,AM_ARM_001,10,llm_union_v9,claude-sonnet-4-6,AM,keep,OTHER.keep,consideration,"For the Armenian economy, these two motivations are legitimate. Enhancing financial inclusion would not only reduce cash management expenses but also provide broader financial access to a larger segment of the population.",0.7,research,considering,silent,silent,OTHER.keep,,False
V9-00006,prior to CBDC issuance one should thoroughly investigate the reasons behind people's adherence to cash.,Prior to CBDC issuance one should thoroughly investigate the reasons behind people's adherence to cash.,NONE.irrelevant,proposal,neutral,not_applicable,1,AM_ARM_001,10,llm_union_v9,claude-sonnet-4-6,AM,drop,,generic_theory,,0.72,research,considering,silent,silent,,,False
V9-00007,"The CBDC system in our modeled economy is a two-tier one. The CBDC is the direct liability of the central bank, issued by it and transmitted to the commercial bank.","The CBDC system in our modeled economy is a two-tier one. The CBDC is the direct liability of the central bank, issued by it and transmitted to the commercial bank.",TECH.ARCH.account,proposal,neutral,not_applicable,2,AM_ARM_001,17,llm_union_v9,claude-sonnet-4-6,AM,keep,OTHER.keep,consideration,"The CBDC system in our modeled economy is a two-tier one. The CBDC is the direct liability of the central bank, issued by it and transmitted to the commercial bank.",0.65,research,considering,silent,silent,OTHER.keep,,False
V9-00008,the commercial bank acquires the necessary amount from the central bank using their reserves held there,the commercial bank acquires the necessary amount from the central bank using their reserves held there,KYC.INTERMED,proposal,neutral,not_applicable,2,AM_ARM_001,17,llm_union_v9,claude-sonnet-4-6,AM,keep,KYC.INTERMED,,,,research,considering,silent,silent,KYC.INTERMED,,False
V9-00009,it sets the maximum leverage requirement for a commercial bank; 2) it determines the cost of CBDC borrowing; and 3) it also sets the maximum CBDC top-up and cash withdrawal amounts.,it sets the maximum leverage requirement for a commercial bank; 2) it determines the cost of CBDC borrowing; and 3) it also sets the maximum CBDC top-up and cash withdrawal amounts.,AML.LIMIT,proposal,neutral,not_applicable,2,AM_ARM_001,17,llm_union_v9,claude-sonnet-4-6,AM,keep,AML.LIMIT,,,,research,considering,silent,silent,AML.LIMIT,,False
V9-00010,the impact on monetary stability ultimately rests on the demand for commercial bank deposits (a country-specific characteristic) and how much CBDC people can hold at any time (a design option).,The impact on monetary stability ultimately rests on the demand for commercial bank deposits (a country-specific characteristic) and how much CBDC people can hold at any time (a design option).,AML.LIMIT,proposal,neutral,not_applicable,2,AW_ARU_001,108,llm_union_v9,claude-sonnet-4-6,AW,keep,AML.LIMIT,,,,research,considering,considering,considering,AML.LIMIT,,False
